Environment,Algorithm,NumAgents,Method,Episode,Reward,FilePath
Acrobot,dqn,5,FedAvg,599,-81.0,Acrobot/5_dqn/fedavg_rewards_5agents.npy
Acrobot,dqn,5,Parallel,599,-82.66666666666667,Acrobot/5_dqn/parallel_rewards_5agents.npy
Acrobot,hd_sarsa,5,FedAvg,599,-127.73333333333333,Acrobot/5_hd_sarsa/fedavg_rewards_5agents.npy
Acrobot,hd_sarsa,5,Parallel,599,-115.8,Acrobot/5_hd_sarsa/parallel_rewards_5agents.npy
Acrobot,qhd,1,FedAvg,599,-402.6666666666667,Acrobot/1_qhd/fedavg_rewards_1agents.npy
Acrobot,qhd,1,Parallel,599,-500.0,Acrobot/1_qhd/parallel_rewards_1agents.npy
Acrobot,qhd,5,FedAvg,599,-115.8,Acrobot/5_qhd/fedavg_rewards_5agents.npy
Acrobot,qhd,5,Parallel,599,-106.73333333333335,Acrobot/5_qhd/parallel_rewards_5agents.npy
CartPole,dqn,1,FedAvg,600,202.66666666666666,CartPole/1_dqn/fedavg_rewards_1agents.npy
CartPole,dqn,1,Parallel,600,137.66666666666666,CartPole/1_dqn/parallel_rewards_1agents.npy
CartPole,dqn,5,FedAvg,600,104.66666666666667,CartPole/5_dqn/fedavg_rewards_5agents.npy
CartPole,dqn,5,Parallel,600,135.13333333333333,CartPole/5_dqn/parallel_rewards_5agents.npy
CartPole,hd_sarsa,1,FedAvg,599,396.0,CartPole/1_hd_sarsa/fedavg_rewards_1agents.npy
CartPole,hd_sarsa,1,Parallel,599,394.6666666666667,CartPole/1_hd_sarsa/parallel_rewards_1agents.npy
CartPole,hd_sarsa,5,FedAvg,600,497.40000000000003,CartPole/5_hd_sarsa/fedavg_rewards_5agents.npy
CartPole,hd_sarsa,5,Parallel,600,374.3999999999999,CartPole/5_hd_sarsa/parallel_rewards_5agents.npy
CartPole,linear_sarsa,5,FedAvg,600,70.46666666666667,CartPole/5_linear_sarsa/fedavg_rewards_5agents.npy
CartPole,linear_sarsa,5,Parallel,600,30.46666666666667,CartPole/5_linear_sarsa/parallel_rewards_5agents.npy
CartPole,qhd,1,FedAvg,599,270.0,CartPole/1_qhd/fedavg_rewards_1agents.npy
CartPole,qhd,1,Parallel,599,382.0,CartPole/1_qhd/parallel_rewards_1agents.npy
CartPole,qhd,5,FedAvg,600,474.86666666666673,CartPole/5_qhd/fedavg_rewards_5agents.npy
CartPole,qhd,5,Parallel,600,428.4666666666667,CartPole/5_qhd/parallel_rewards_5agents.npy
LunarLander,dqn,1,FedAvg,600,-59.281636456481465,LunarLander/1_dqn/fedavg_rewards_1agents.npy
LunarLander,dqn,1,Parallel,600,-11.236779744756424,LunarLander/1_dqn/parallel_rewards_1agents.npy
LunarLander,dqn,5,FedAvg,599,-30.69315211277049,LunarLander/5_dqn/fedavg_rewards_5agents.npy
LunarLander,dqn,5,Parallel,599,-103.54715181341038,LunarLander/5_dqn/parallel_rewards_5agents.npy
LunarLander,hd_sarsa,5,FedAvg,599,-96.81236137537557,LunarLander/5_hd_sarsa/fedavg_rewards_5agents.npy
LunarLander,hd_sarsa,5,Parallel,599,-108.28062931575455,LunarLander/5_hd_sarsa/parallel_rewards_5agents.npy
LunarLander,linear_sarsa,5,FedAvg,599,-149.80952700889807,LunarLander/5_linear_sarsa/fedavg_rewards_5agents.npy
LunarLander,linear_sarsa,5,Parallel,599,-135.2166175909696,LunarLander/5_linear_sarsa/parallel_rewards_5agents.npy
LunarLander,qhd,5,FedAvg,599,-17.045723371286673,LunarLander/5_qhd/fedavg_rewards_5agents.npy
LunarLander,qhd,5,Parallel,599,72.24093353629692,LunarLander/5_qhd/parallel_rewards_5agents.npy
